007: James Bond - The Stealth Affair,cine:os
Cruise for a Corpse,cruise:cruise
Future Wars: Adventures in Time,cine:fw
Out of This World (Another World),awe:anotherworld
ADRIFT Interactive Fiction games,glk:adrift
AGT Interactive Fiction games,glk:agt
AdvSys Interactive Fiction games,glk:advsys
Alan 2 & 3 Interactive Fiction games,glk:alan
Archetype Interactive Fiction games,glk:archetype
Glulx Interactive Fiction games,glk:glulx
Hugo Interactive Fiction games,glk:hugo
JACL Interactive Fiction games,glk:jacl
Level 9 Interactive Fiction games,glk:level9
Quest Interactive Fiction games,glk:quest
Scott Adams Interactive Fiction games,glk:scottadams
ZCode (Infocom and Inform) Interactive Fiction games,glk:zcode
Above The Waves,sludge:atw
Adventure Game Studio games,ags:ags
Fukuoka Go-Round,director:fukuokagoround
Lepton's Quest,sludge:leptonsquest
Nathan's Second Chance,sludge:nsc
The Secret of Tremendous Corporation,sludge:tsotc
Adibou 1,gob:adibou1
Adibou 2,gob:adibou2
Bargon Attack,gob:bargon
Croustibat,gob:crousti
Fascination,gob:fascination
Geisha,gob:geisha
Gobliiins,gob:gob1
Gobliins 2: The Prince Buffoon,gob:gob2
Goblins Quest 3,gob:gob3
Lost in Time,gob:lit
Once Upon A Time: Little Red Riding Hood,gob:littlered
Playtoons Limited Edition - Bambou le sauveur de la jungle,gob:bambou
The Bizarre Adventures of Woodruff and the Schnibble,gob:woodruff
Urban Runner,gob:urban
Ween: The Prophecy,gob:ween
Aesop's Fables: The Tortoise and the Hare,mohawk:tortoise
Arthur's Birthday,mohawk:arthurbday
Dr. Seuss's ABC,mohawk:seussabc
Green Eggs and Ham,mohawk:greeneggs
Harry and the Haunted House,mohawk:harryhh
Just Grandma and Me,mohawk:grandma
Little Monster at School,mohawk:lilmonster
Marc Brown's Arthur's Teacher Trouble,mohawk:arthur
Ruff's Bone,mohawk:ruff
"Sheila Rae, the Brave",mohawk:sheila
The Berenstain Bears Get in a Fight,mohawk:bearfight
The Berenstain Bears In The Dark,mohawk:beardark
The New Kid on the Block,mohawk:newkid
Alice: An Interactive Museum,director:alice
"Gadget: Invention, Travel and Adventure",director:gadget
L-ZONE,director:lzone
Ashina: The Red Witch,ags:ashinaredwitch
Just Ignore Them,ags:justignorethem
My Big Sister,ags:mybigsister
My Big Sister Remastered,ags:mybigsisterrm
Red Bow,ags:redbow
Astro Chicken,sci:astrochicken
Castle of Dr. Brain,sci:castlebrain
Code-Name: Iceman,sci:iceman
Conquests of Camelot: The Search for the Grail,sci:camelot
Conquests of the Longbow: The Legend of Robin Hood,sci:longbow
Donald Duck's Playground,agi:ddp
EcoQuest II: Lost Secret of the Rainforest,sci:ecoquest2
EcoQuest: The Search for Cetus,sci:ecoquest
Freddy Pharkas: Frontier Pharmacist,sci:freddypharkas
Gabriel Knight: Sins of the Fathers,sci:gk1
Gold Rush!,agi:goldrush
Hi-Res Adventure #0: Mission Asteroid,adl:hires0
Hi-Res Adventure #1: Mystery House,adl:hires1
Hi-Res Adventure #2: The Wizard and the Princess,adl:hires2
Hi-Res Adventure #3: Cranston Manor,adl:hires3
Hi-Res Adventure #4: Ulysses and the Golden Fleece,adl:hires4
Hi-Res Adventure #5: Time Zone,adl:hires5
Hi-Res Adventure #6: The Dark Crystal,adl:hires6
Hoyle Classic Card Games,sci:hoyle4
Hoyle Classic Games,sci:hoyle5
Hoyle Solitaire,sci:hoyle5solitaire
Hoyle's Official Book of Games: Volume 1,sci:hoyle1
Hoyle's Official Book of Games: Volume 2,sci:hoyle2
Hoyle's Official Book of Games: Volume 3,sci:hoyle3
Inside the Chest,sci:chest
Jones in the Fast Lane,sci:jones
King's Quest I: Quest for the Crown,agi:kq1
King's Quest II: Romancing the Throne,agi:kq2
King's Quest III: To Heir Is Human,agi:kq3
King's Quest IV: The Perils of Rosella,agi:kq4
King's Quest IV: The Perils of Rosella,sci:kq4sci
King's Quest V: Absence Makes the Heart Go Yonder!,sci:kq5
"King's Quest VI: Heir Today, Gone Tomorrow",sci:kq6
King's Quest VII: The Princeless Bride,sci:kq7
King's Quest: Quest for the Crown,sci:kq1sci
King's Questions,sci:kquestions
Laura Bow 2: The Dagger of Amon Ra,sci:laurabow2
Laura Bow: The Colonel's Bequest,sci:laurabow
Leisure Suit Larry 2: Goes Looking for Love (in Several Wrong Places),sci:lsl2
Leisure Suit Larry 3: Passionate Patti in Pursuit of the Pulsating Pectorals,sci:lsl3
Leisure Suit Larry 5: Passionate Patti Does a Little Undercover Work,sci:lsl5
Leisure Suit Larry 6: Shape Up or Slip Out!,sci:lsl6
Leisure Suit Larry 6: Shape Up or Slip Out!,sci:lsl6hires
Leisure Suit Larry 7: Love for Sail!,sci:lsl7
Leisure Suit Larry in the Land of the Lounge Lizards,agi:lsl1
Leisure Suit Larry in the Land of the Lounge Lizards,sci:lsl1sci
Lighthouse: The Dark Being,sci:lighthouse
Manhunter 2: San Francisco,agi:mh2
Manhunter: New York,agi:mh1
Mickey's Space Adventure,agi:mickey
Mixed Up Fairy Tales,sci:fairytales
Mixed-Up Mother Goose,agi:mixedup
Mixed-Up Mother Goose,sci:mothergoose
Mixed-Up Mother Goose,sci:mothergoose256
Mixed-Up Mother Goose Deluxe,sci:mothergoosehires
Pepper's Adventures in Time,sci:pepper
Phantasmagoria,sci:phantasmagoria
Phantasmagoria 2: A Puzzle of Flesh,sci:phantasmagoria2
Police Quest 2: The Vengeance,sci:pq2
Police Quest 3: The Kindred,sci:pq3
Police Quest IV: Open Season,sci:pq4
Police Quest: In Pursuit of the Death Angel,agi:pq1
Police Quest: In Pursuit of the Death Angel,sci:pq1sci
Police Quest: SWAT,sci:pqswat
Quest for Glory I: So You Want To Be A Hero,sci:qfg1
Quest for Glory I: So You Want To Be A Hero,sci:qfg1vga
Quest for Glory II: Trial by Fire,sci:qfg2
Quest for Glory III: Wages of War,sci:qfg3
Quest for Glory IV: Shadows of Darkness,sci:qfg4
RAMA,sci:rama
Shivers,sci:shivers
Slater & Charlie Go Camping,sci:slater
Space Quest 6: Roger Wilco in the Spinal Frontier,sci:sq6
Space Quest I: Roger Wilco in the Sarien Encounter,sci:sq1sci
Space Quest II: Chapter II - Vohaul's Revenge,agi:sq2
Space Quest III: The Pirates of Pestulon,sci:sq3
Space Quest IV: Roger Wilco and the Time Rippers,sci:sq4
Space Quest V: The Next Mutation,sci:sq5
Space Quest: Chapter I - The Sarien Encounter,agi:sq1
The Beast Within: A Gabriel Knight Mystery,sci:gk2
The Black Cauldron,agi:bc
The Island of Dr. Brain,sci:islandbrain
Torin's Passage,sci:torin
Troll's Tale,agi:troll
Winnie the Pooh in the Hundred Acre Wood,agi:winnie
Backyard Baseball,scumm:baseball
Backyard Baseball 2001,scumm:baseball2001
Backyard Baseball 2003,scumm:baseball2003
Backyard Basketball,scumm:basketball
Backyard Football,scumm:football
Backyard Football 2002,scumm:football2002
Backyard Soccer,scumm:soccer
Backyard Soccer 2004,scumm:soccer2004
Backyard Soccer MLS Edition,scumm:soccermls
Bear Stormin',scumm:brstorm
Big Thinkers! 1st Grade,scumm:thinker1
Big Thinkers! Kindergarten,scumm:thinkerk
Blue's 123 Time Activities,scumm:blues123time
Blue's ABC Time Activities,scumm:bluesabctime
Blue's Clues: Blue's Art Time Activities,scumm:arttime
Blue's Clues: Blue's Birthday Adventure,scumm:bluesbirthday
Blue's Reading Time Activities,scumm:readtime
Blue's Treasure Hunt,scumm:bluestreasurehunt
Fatty Bear's Birthday Surprise,scumm:fbear
Fatty Bear's FunPack,scumm:fbpack
Freddi Fish 2: The Case of the Haunted Schoolhouse,scumm:freddi2
Freddi Fish 3: The Case of the Stolen Conch Shell,scumm:freddi3
Freddi Fish 4: The Case of the Hogfish Rustlers of Briny Gulch,scumm:freddi4
Freddi Fish 5: The Case of the Creature of Coral Cove,scumm:freddicove
Freddi Fish and Luther's Maze Madness,scumm:maze
Freddi Fish and Luther's Water Worries,scumm:water
Freddi Fish and the Case of the Missing Kelp Seeds,scumm:freddi
Freddi Fish's One-Stop Fun Shop,scumm:freddisfunshop
Humongous Interactive Catalog,scumm:catalog
Let's Explore the Airport,scumm:airport
Let's Explore the Farm,scumm:farm
Let's Explore the Jungle,scumm:jungle
Moonbase Commander,scumm:moonbase
Pajama Sam 2: Thunder and Lightning Aren't so Frightening,scumm:pajama2
Pajama Sam 3: You Are What You Eat From Your Head To Your Feet,scumm:pajama3
Pajama Sam's Lost & Found,scumm:lost
Pajama Sam's One Stop Fun Shop,scumm:samsfunshop
Pajama Sam's Sock Works,scumm:socks
Pajama Sam: Games to Play on Any Day,scumm:pjgames
Pajama Sam: No Need to Hide When It's Dark Outside,scumm:pajama
Putt-Putt Enters the Race,scumm:puttrace
Putt-Putt Goes to the Moon,scumm:puttmoon
Putt-Putt Joins the Circus,scumm:puttcircus
Putt-Putt Joins the Parade,scumm:puttputt
Putt-Putt Saves the Zoo,scumm:puttzoo
Putt-Putt Travels Through Time,scumm:putttime
Putt-Putt and Fatty Bear's Activity Pack,scumm:activity
Putt-Putt and Pep's Balloon-O-Rama,scumm:balloon
Putt-Putt and Pep's Dog on a Stick,scumm:dog
Putt-Putt's Fun Pack,scumm:funpack
Putt-Putt's One-Stop Fun Shop,scumm:puttsfunshop
"SPY Fox in ""Cheese Chase""",scumm:chase
"Spy Fox 2: ""Some Assembly Required""",scumm:spyfox2
"Spy Fox in ""Dry Cereal""",scumm:spyfox
"Spy Fox in ""Hold the Mustard""",scumm:mustard
